Metric;Model,WinRateWithTie
general;gpt-4-1106-preview;gpt-3.5-turbo-1106,0.75
general;gpt-4-0613;gpt-3.5-turbo-1106,0.75
general;codellama-7b-instruct;gpt-3.5-turbo-1106,0.0
faithfulness;gpt-3.5-turbo-1106;gpt-4-0613,0.0
general;deepseek-coder-6.7b-instruct;gpt-3.5-turbo-1106,0.5
general;gpt-3.5-turbo-1106;gpt-4-0613,0.25
general;gpt-3.5-turbo-1106;codellama-7b-instruct,1.0
faithfulness;gpt-4-0125-preview;gpt-3.5-turbo-1106,1.0
general;gpt-3.5-turbo-1106;gpt-4-1106-preview,0.25
general;deepseek-coder-1.3b-instruct;gpt-3.5-turbo-1106,0.25
faithfulness;gpt-3.5-turbo-1106;codellama-13b-instruct,0.5
faithfulness;codellama-34b-instruct;gpt-3.5-turbo-1106,0.75
faithfulness;gpt-3.5-turbo-1106;deepseek-coder-33b-instruct,0.5
general;gpt-3.5-turbo-1106;codellama-34b-instruct,0.5
general;gpt-3.5-turbo-1106;deepseek-coder-6.7b-instruct,0.5
general;codellama-34b-instruct;gpt-3.5-turbo-1106,0.5
faithfulness;gpt-3.5-turbo-1106;deepseek-coder-1.3b-instruct,0.75
faithfulness;gpt-4-1106-preview;gpt-3.5-turbo-1106,1.0
faithfulness;codellama-13b-instruct;gpt-3.5-turbo-1106,0.5
faithfulness;gpt-3.5-turbo-1106;deepseek-coder-6.7b-instruct,0.75
general;gpt-3.5-turbo-1106;codellama-13b-instruct,0.5
faithfulness;gpt-4-0613;gpt-3.5-turbo-1106,1.0
faithfulness;gpt-3.5-turbo-1106;codellama-34b-instruct,0.25
faithfulness;deepseek-coder-6.7b-instruct;gpt-3.5-turbo-1106,0.25
general;deepseek-coder-33b-instruct;gpt-3.5-turbo-1106,0.25
general;gpt-4-0125-preview;gpt-3.5-turbo-1106,1.0
general;gpt-3.5-turbo-1106;deepseek-coder-1.3b-instruct,0.75
faithfulness;gpt-3.5-turbo-1106;gpt-4-1106-preview,0.0
faithfulness;deepseek-coder-1.3b-instruct;gpt-3.5-turbo-1106,0.25
faithfulness;gpt-3.5-turbo-1106;codellama-7b-instruct,1.0
general;gpt-3.5-turbo-1106;deepseek-coder-33b-instruct,0.75
faithfulness;gpt-3.5-turbo-1106;gpt-4-0125-preview,0.0
general;gpt-3.5-turbo-1106;gpt-4-0125-preview,0.0
faithfulness;deepseek-coder-33b-instruct;gpt-3.5-turbo-1106,0.5
faithfulness;codellama-7b-instruct;gpt-3.5-turbo-1106,0.0
general;codellama-13b-instruct;gpt-3.5-turbo-1106,0.5
